ASSETID;PERIOD;PRICE;CONSTRUCTEDAREA;ROOMNUMBER;BATHNUMBER;HASTERRACE;HASLIFT;HASAIRCONDITIONING;AMENITYID;HASPARKINGSPACE;ISPARKINGSPACEINCLUDEDINPRICE;PARKINGSPACEPRICE;HASNORTHORIENTATION;HASSOUTHORIENTATION;HASEASTORIENTATION;HASWESTORIENTATION;HASBOXROOM;HASWARDROBE;HASSWIMMINGPOOL;HASDOORMAN;HASGARDEN;ISDUPLEX;ISSTUDIO;ISINTOPFLOOR;CONSTRUCTIONYEAR;FLOORCLEAN;FLATLOCATIONID;CADCONSTRUCTIONYEAR;CADMAXBUILDINGFLOOR;CADDWELLINGCOUNT;CADASTRALQUALITYID;BUILTTYPEID_1;BUILTTYPEID_2;BUILTTYPEID_3;DISTANCE_TO_CITY_CENTER;DISTANCE_TO_METRO;DISTANCE_TO_BLASCO;LONGITUDE;LATITUDE
A4110546360576576635;201806;135000;96;3;1;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;NA;2;NA;2007;3;2;5;0;0;1;194.372.639.806.687;135.438.885.263.724;134.201.775.938.556;-0.377808505680734;394.872.026.355.691
A14821108709080415198;201806;202000;112;4;2;1;1;0;3;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;NA;7;1;1950;1;1;7;0;0;1;427.274.559.685.371;172.828.772.960.624;107.186.255.715.017;-0.328072510700355;394.780.698.694.745
A1785922426850794619;201806;155000;169;4;2;0;1;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1980;6;1;1980;1;1;7;0;0;1;251.993.866.148.643;0.576622297161344;371.201.056.110.358;-0.405464762901363;394.656.977.633.147
A6468447033338753159;201806;141000;45;1;1;1;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;NA;4;1;1987;3;7;4;0;0;1;0.513170570710027;0.655463216937276;103.321.460.305.675;-0.376210133333828;39.474.365.072.516
A5132599923816028939;201806;241000;87;3;1;0;1;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1964;1;NA;1964;6;48;5;0;0;1;0.914576515916132;0.950040189065494;0.826035167466098;-0.375471482091067;394.779.338.905.139
A12694364323047597171;201806;274000;95;3;1;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;NA;4;1;1955;6;9;8;0;0;1;0.803241255947726;0.93454565693396;0.999210760958463;-0.377251596125722;394.769.650.968.967
A15697827893136600352;201806;415000;135;4;2;0;0;0;3;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;1920;3;1;1920;4;7;3;0;0;1;0.762416858194421;0.753147772289976;0.785002942396782;-0.374343998457066;394.763.859.356.168
A5455333483241669736;201806;205000;81;3;1;0;1;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1984;1;2;1984;6;48;5;0;0;1;0.914655638947873;0.949595793862236;0.825059438790367;-0.375459867246906;394.779.336.281.882
A5525147877026641809;201806;257000;95;2;2;0;1;1;3;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1890;3;1;1890;5;13;3;0;0;1;0.843567466921161;0.894510569555853;0.85706405715948;-0.375657782926521;39.477.307.482.926
A12646623200839800767;201806;367000;160;4;2;0;1;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;1994;5;8;4;0;0;1;0.505047165860829;0.628407123081438;101.581.714.364.527;-0.375888318185946;394.742.677.180.739
A7363801270944066133;201806;250000;80;2;2;0;1;1;3;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;2000;4;1;2000;6;48;5;0;0;1;0.918496074077241;0.954075616542145;0.82617250299825;-0.375481742949448;394.779.701.574.046
A5289268663891463567;201806;213000;74;2;1;1;1;1;3;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1974;0;2;1974;6;48;5;0;0;1;0.886054487424597;0.975354549257215;0.927187570136089;-0.376618534637199;394.777.255.629.153
A16288560452193628182;201806;332000;180;6;2;0;1;0;3;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1950;2;1;1950;6;12;5;0;1;0;0.73351723155704;0.848062661015901;11.389.064.740.211;-0.378641619915613;394.761.676.522.751
A9380334470378084602;201806;257000;95;2;2;0;1;0;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1890;3;1;1890;6;12;2;0;0;1;0.824858471072939;0.875959830908806;0.858901081934838;-0.375617754903211;394.771.354.119.756
