ASSETID,PERIOD,PRICE,CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,AMENITYID,HASPARKINGSPACE,ISPARKINGSPACEINCLUDEDINPRICE,PARKINGSPACEPRICE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,CONSTRUCTIONYEAR,FLOORCLEAN,FLATLOCATIONID,CADCONSTRUCTIONYEAR,CADMAXBUILDINGFLOOR,CADDWELLINGCOUNT,CADASTRALQUALITYID,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_BLASCO,LONGITUDE,LATITUDE
A4110546360576576635,201806,135000,96,3,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,2.0,,2007,3,2,5,0,0,1,194372639806687,135438885263724,134201775938556,-377808505680734,394872026355691
A14821108709080415198,201806,202000,112,4,2,1,1,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,,7.0,1.0,1950,1,1,7,0,0,1,427274559685371,172828772960624,107186255715017,-328072510700355,394780698694745
A1785922426850794619,201806,155000,169,4,2,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1980.0,6.0,1.0,1980,1,1,7,0,0,1,251993866148643,576622297161344,371201056110358,-405464762901363,394656977633147
A6468447033338753159,201806,141000,45,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,4.0,1.0,1987,3,7,4,0,0,1,513170570710027,655463216937276,103321460305675,-376210133333828,39474365072516
A5132599923816028939,201806,241000,87,3,1,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1964.0,1.0,,1964,6,48,5,0,0,1,914576515916132,950040189065494,826035167466098,-375471482091067,394779338905139
A12694364323047597171,201806,274000,95,3,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,4.0,1.0,1955,6,9,8,0,0,1,803241255947726,93454565693396,999210760958463,-377251596125722,394769650968967
A15697827893136600352,201806,415000,135,4,2,0,0,0,3,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1920.0,3.0,1.0,1920,4,7,3,0,0,1,762416858194421,753147772289976,785002942396782,-374343998457066,394763859356168
A5455333483241669736,201806,205000,81,3,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1984.0,1.0,2.0,1984,6,48,5,0,0,1,914655638947873,949595793862236,825059438790367,-375459867246906,394779336281882
A5525147877026641809,201806,257000,95,2,2,0,1,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1890.0,3.0,1.0,1890,5,13,3,0,0,1,843567466921161,894510569555853,85706405715948,-375657782926521,39477307482926
A12646623200839800767,201806,367000,160,4,2,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,1994,5,8,4,0,0,1,505047165860829,628407123081438,101581714364527,-375888318185946,394742677180739
A7363801270944066133,201806,250000,80,2,2,0,1,1,3,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,2000.0,4.0,1.0,2000,6,48,5,0,0,1,918496074077241,954075616542145,82617250299825,-375481742949448,394779701574046
